Year,Sport,Discipline,Medal,Country,Author,AuthorId
1936,AER,mixed-aeronautics,Gold,SUI,Hermann Schreiber,hermann-schreiber-1
1936,ALP,mixed-alpinism,Gold,SUI,Switzerland,
1932,ALP,mixed-alpinism,Gold,GER,Germany,
1924,ALP,mixed-alpinism,Gold,MIX,Mixed team,
1900,ARC,mens-au-chapelet-33-metres,Gold,BEL,Hubert Van Innis,hubert-van-innis-1
1900,ARC,mens-au-chapelet-33-metres,Silver,FRA,Victor Thibault,victor-thibault-1
1900,ARC,mens-au-chapelet-33-metres,Bronze,FRA,FrÃ©dÃ¨ric Petit,frederic-petit-1
1900,ARC,mens-au-chapelet-50-metres,Gold,FRA,EugÃ¨ne Mougin,eugene-mougin-1
1900,ARC,mens-au-chapelet-50-metres,Silver,FRA,Henri Helle,henri-helle-1
1900,ARC,mens-au-chapelet-50-metres,Bronze,FRA,Ãmile Mercier,emile-mercier-1
1900,ARC,mens-au-cordon-dore-33-metres,Gold,BEL,Hubert Van Innis,hubert-van-innis-1
1900,ARC,mens-au-cordon-dore-33-metres,Silver,FRA,Victor Thibault,victor-thibault-1
1900,ARC,mens-au-cordon-dore-33-metres,Bronze,FRA,FrÃ©dÃ¨ric Petit,frederic-petit-1
1900,ARC,mens-au-cordon-dore-50-metres,Gold,FRA,Henri HÃ©rouin,henri-herouin-1
1900,ARC,mens-au-cordon-dore-50-metres,Silver,BEL,Hubert Van Innis,hubert-van-innis-1
1900,ARC,mens-au-cordon-dore-50-metres,Bronze,FRA,Ãmile Fisseux,emile-fisseux-1
1900,ARC,mens-championnat-du-monde,Gold,FRA,Henri HÃ©rouin,henri-herouin-1
1900,ARC,mens-championnat-du-monde,Silver,BEL,Hubert Van Innis,hubert-van-innis-1
1908,ARC,mens-continental-style,Gold,FRA,EugÃ¨ne Grisot,eugene-grisot-1
1908,ARC,mens-continental-style,Silver,FRA,Louis Vernet,louis-vernet-1
1908,ARC,mens-continental-style,Bronze,FRA,Gustave Cabaret,gustave-cabaret-1
1904,ARC,mens-double-american-round,Gold,USA,Phil Bryant,phil-bryant-1
1904,ARC,mens-double-american-round,Silver,USA,Robert Williams,robert-williams-1
1904,ARC,mens-double-american-round,Bronze,USA,Will Thompson,will-thompson-1
1908,ARC,mens-double-york-round,Gold,GBR,William Dod,william-dod-1
1908,ARC,mens-double-york-round,Silver,GBR,Reginald Brooks-King,reginald-brooks-king-1
1908,ARC,mens-double-york-round,Bronze,USA,Henry Richardson,henry-richardson-1
1904,ARC,mens-double-york-round,Gold,USA,Phil Bryant,phil-bryant-1
1904,ARC,mens-double-york-round,Silver,USA,Robert Williams,robert-williams-1
1904,ARC,mens-double-york-round,Bronze,USA,Will Thompson,will-thompson-1
2012,ARC,mens-individual,Gold,KOR,Oh Jin-Hyek,oh-jin-hyek-1
2012,ARC,mens-individual,Silver,JPN,Takaharu Furukawa,takaharu-furukawa-1
2012,ARC,mens-individual,Bronze,CHN,Dai Xiaoxiang,dai-xiaoxiang-1
2008,ARC,mens-individual,Gold,UKR,Viktor Ruban,viktor-ruban-1
2008,ARC,mens-individual,Silver,KOR,Park Gyeong-Mo,park-gyeong-mo-1
2008,ARC,mens-individual,Bronze,RUS,Bair Badyonov,bair-badyonov-1
2004,ARC,mens-individual,Gold,ITA,Marco Galiazzo,marco-galiazzo-1
2004,ARC,mens-individual,Silver,JPN,Hiroshi Yamamoto,hiroshi-yamamoto-1
2004,ARC,mens-individual,Bronze,AUS,Tim Cuddihy,tim-cuddihy-1
2000,ARC,mens-individual,Gold,AUS,Simon Fairweather,simon-fairweather-1
2000,ARC,mens-individual,Silver,USA,Vic Wunderle,vic-wunderle-1
2000,ARC,mens-individual,Bronze,NED,Wietse van Alten,wietse-van-alten-1
1996,ARC,mens-individual,Gold,USA,Justin Huish,justin-huish-1
1996,ARC,mens-individual,Silver,SWE,Magnus Petersson,magnus-petersson-1
1996,ARC,mens-individual,Bronze,KOR,O Gyo-Mun,o-gyo-mun-1
1992,ARC,mens-individual,Gold,FRA,SÃ©bastien FlÃ»te,sebastien-flute-1
1992,ARC,mens-individual,Silver,KOR,Jeong Jae-Heon,jeong-jae-heon-1
1992,ARC,mens-individual,Bronze,GBR,Simon Terry,simon-terry-1
1988,ARC,mens-individual,Gold,USA,Jay Barrs,jay-barrs-1
1988,ARC,mens-individual,Silver,KOR,Park Seong-Su,park-seong-su-1
1988,ARC,mens-individual,Bronze,URS,Vladimir Yesheyev,vladimir-yesheyev-1
1984,ARC,mens-individual,Gold,USA,Darrell Pace,darrell-pace-1
1984,ARC,mens-individual,Silver,USA,Rick McKinney,rick-mckinney-1
1984,ARC,mens-individual,Bronze,JPN,Hiroshi Yamamoto,hiroshi-yamamoto-1
1980,ARC,mens-individual,Gold,FIN,Tomi Poikolainen,tomi-poikolainen-1
1980,ARC,mens-individual,Silver,URS,Boris Isachenko,boris-isachenko-1
1980,ARC,mens-individual,Bronze,ITA,Giancarlo Ferrari,giancarlo-ferrari-1
1976,ARC,mens-individual,Gold,USA,Darrell Pace,darrell-pace-1
1976,ARC,mens-individual,Silver,JPN,Hiroshi Michinaga,hiroshi-michinaga-1
1976,ARC,mens-individual,Bronze,ITA,Giancarlo Ferrari,giancarlo-ferrari-1
1972,ARC,mens-individual,Gold,USA,John Williams,john-williams-1
1972,ARC,mens-individual,Silver,SWE,Gunnar Jervill,gunnar-jervill-1
1972,ARC,mens-individual,Bronze,FIN,KyÃ¶sti Laasonen,kyosti-laasonen-1
1920,ARC,mens-pole-archery-large-birds-individual,Gold,BEL,Edmond Cloetens,edmond-cloetens-1
1920,ARC,mens-pole-archery-large-birds-individual,Silver,BEL,Louis Van De Perck,louis-van-de-perck-1
1920,ARC,mens-pole-archery-large-birds-individual,Bronze,BEL,Firmin Flamand,firmin-flamand-1
1920,ARC,mens-pole-archery-large-birds-team,Gold,BEL,Belgium,
1920,ARC,mens-pole-archery-small-birds-individual,Gold,BEL,Edmond Van Moer,edmond-van-moer-1
1920,ARC,mens-pole-archery-small-birds-individual,Silver,BEL,Louis Van De Perck,louis-van-de-perck-1
1920,ARC,mens-pole-archery-small-birds-individual,Bronze,BEL,Joseph Hermans,joseph-hermans-1
1920,ARC,mens-pole-archery-small-birds-team,Gold,BEL,Belgium,
1900,ARC,mens-sur-la-perche-a-la-herse,Gold,BEL,Emmanuel Foulon,emmanuel-foulon-1
1900,ARC,mens-sur-la-perche-a-la-herse,Silver,BEL, Druart, Jr.
